Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
538,N,17th ,St,,Entire,,,,,6/23/2008
3318,,Kramers,Ln,,Entire,,,,,6/23/2008
4615,,Lake Dreamland,Rd,,Entire,,,,,6/27/2008
927,,Schiller,Ct,,Entire,,,,,6/27/2008
2430,,Elliott,Ave,,Entire,,,,,7/11/2008
4117,,Lake Dreamland ,Rd,,Entire,,,,,7/11/2008
536,,Lampton,St,,Entire,,,,,7/14/2008
1605,S,Shelby,St,,Entire,,,,,7/14/2008
927,,Shelby,Pkwy,,Entire,,,,,7/21/2008
410,N,44th,St,,Entire,,,,,7/25/2008
3433,,Larkwood,Ave,,Entire,,,,,7/25/2008
7514,,Cedar Creek,Rd,,Entire,,,,,7/30/2008
4016,,Larkwood,Ave,,Entire,,,,,7/31/2008
2008,,St Louis,Ave,,Entire,,,,,7/31/2008
6607,,Daytona,Ave,,Entire,,,,,8/13/2008
2137,W,Lee,St,,Entire,,,,,8/13/2008
2320,W,Lee,St,,Entire,,,,,8/18/2008
11813,,Leemont,Dr,,Entire,,,,,8/18/2008
1929,,Olive,St,,Entire,,,,,8/18/2008
410,N,20th,St,,Garage,,,,,8/22/2008
3110,,Lenover,Dr,,Entire,,,,,8/22/2008
6506,,Lewis,Ln,,Entire,,,,,8/22/2008
1508,,Lexington,Rd,,Entire,,,,,8/25/2008
4312,,Wilshire,St,,Entire,,,,,8/25/2008
2921,,Griffiths,Ave,,Entire,,,,,8/27/2008
4242,,Louisville,Ave,,Entire,,,,,8/27/2008
335,N,23rd,St,,Rear,,,,,8/28/2008
6708,,Lower Hunters,Trace,,Entire,,,,,8/28/2008
2206,,Peaslee,Rd,,Garage,,,,,8/28/2008
2908,,Garfield,Ave,,Entire,,,,,9/4/2008
1800,,Lytle,St,,Entire,,,,,9/4/2008
1804,,Lytle,St,,Entire,,,,,9/8/2008
1723,W,Market,St,,Entire,,,,,9/8/2008
3230,,Larkwood,Ave,,Entire,,,,,9/16/2008
1817,,Lytle,St,,Entire,,,,,9/16/2008
4623,,Lake Dreamland,Rd,,Entire,,,,,9/18/2008
1823,,Lytle,St,,Entire,,,,,9/18/2008
5,,Grand Avenue,Ct,,Entire,,,,,9/22/2008
918,S,Hancock,St,,Entire,,,,,9/22/2008
1826,,Lytle,St,,Entire,,,,,9/22/2008
1830,,Lytle,St,,Entire,,,,,9/22/2008
1405,,Hemlock,St,,Entire,,,,,9/30/2008
1834,,Lytle,St,,Entire,,,,,9/30/2008
110,S,34th,St,,Entire,,,,,10/8/2008
1845,,Lytle,St,,Entire,,,,,10/8/2008
2025,,Lytle,St,,Entire,,,,,10/9/2008
6804,,Shepherdsville,Rd,,Entire,,,,,10/9/2008
2516,W,Jefferson,St,,Entire,,,,,10/10/2008
2306,,Lytle,St,,Entire,,,,,10/10/2008
2812,,Lytle,St,,Entire,,,,,10/10/2008
2818,,Lytle,St,,Entire,,,,,10/14/2008
1316,,Olive,St,,Entire,,,,,10/15/2008
928,S,Shelby,St,,Entire,,,,,10/15/2008
1352,S,1st,St,,Entire,,,,,10/20/2008
117,S,20th,St,,Entire,,,,,10/28/2008
322,N,21st,St,,Entire,,,,,10/28/2008
851,S,23rd,St,,Entire,,,,,10/28/2008
2120,W,Madison,St,,Entire,,,,,10/28/2008
2203,W,Madison,St,,Entire,,,,,10/28/2008
2224,W,Madison,St,,Entire,,,,,10/28/2008
